,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/9/16,2269.8,2146.6,7304.0,IH1509.CFE,7009.0,4575662820.0,2217.2,2133.2,20150916,2243.6,2168.0,97.0,IH1509|FU|CFFEX,IH1509,2160.0
2015/9/17,2255.4,2217.2,4746.0,IH1509.CFE,4292.0,2866571040.0,2219.2,2192.2,20150917,2195.2,2233.4,-22.0,IH1509|FU|CFFEX,IH1509,2243.6
2015/9/18,2186.6,2172.6,9250.0,IH1510.CFE,4720.0,3063154260.0,2155.4,2122.2,20150918,2151.0,2154.8,-21.6,IH1510|FU|CFFEX,IH1510,2155.0
2015/9/21,2187.6,2155.4,9319.0,IH1510.CFE,5446.0,3525240600.0,2175.0,2111.4,20150921,2185.6,2111.4,30.2,IH1510|FU|CFFEX,IH1510,2151.0
2015/9/22,2220.0,2175.0,9731.0,IH1510.CFE,5302.0,3493395120.0,2204.0,2171.0,20150922,2194.2,2186.2,19.2,IH1510|FU|CFFEX,IH1510,2185.6
2015/9/23,2184.8,2204.0,10544.0,IH1510.CFE,5830.0,3770436000.0,2143.6,2130.0,20150923,2139.2,2175.0,-64.8,IH1510|FU|CFFEX,IH1510,2194.2
2015/9/24,2169.0,2143.6,10997.0,IH1510.CFE,4442.0,2870956680.0,2150.4,2134.0,20150924,2153.0,2134.0,9.4,IH1510|FU|CFFEX,IH1510,2139.2
2015/9/25,2160.6,2150.4,11299.0,IH1510.CFE,5135.0,3290568060.0,2126.8,2111.2,20150925,2131.0,2151.4,-19.4,IH1510|FU|CFFEX,IH1510,2153.0
2015/9/28,2145.8,2126.8,11188.0,IH1510.CFE,4338.0,2767266960.0,2134.2,2105.0,20150928,2136.2,2122.6,9.4,IH1510|FU|CFFEX,IH1510,2131.0
2015/9/29,2114.2,2134.2,11577.0,IH1510.CFE,4843.0,3038622480.0,2086.2,2066.4,20150929,2094.2,2111.0,-40.0,IH1510|FU|CFFEX,IH1510,2136.2
2015/9/30,2141.0,2086.2,11612.0,IH1510.CFE,4590.0,2918550540.0,2120.0,2101.4,20150930,2112.6,2101.4,26.4,IH1510|FU|CFFEX,IH1510,2094.2
2015/10/8,2250.0,2120.0,11717.0,IH1510.CFE,5351.0,3537073020.0,2177.2,2170.2,20151008,2171.0,2217.0,51.0,IH1510|FU|CFFEX,IH1510,2112.6
